2020.10.07;11:59:44; css811: 416 ppm ;sgp30: 400 ppm ;Temp: 19.3 C  ;  Humidity rel. : 58.3% ; Humidity abs. : 9.67 g/m³
2020.10.07;12:00:07; css811: 400 ppm ;sgp30: 400 ppm ;Temp: 19.3 C  ;  Humidity rel. : 58.3% ; Humidity abs. : 9.67 g/m³
2020.10.07;12:00:23; css811: 405 ppm ;sgp30: 400 ppm ;Temp: 19.3 C  ;  Humidity rel. : 58.2% ; Humidity abs. : 9.65 g/m³
2020.10.07;12:00:46; css811: 403 ppm ;sgp30: 400 ppm ;Temp: 19.3 C  ;  Humidity rel. : 58.0% ; Humidity abs. : 9.62 g/m³
2020.10.07;12:12:47; css811: 649 ppm ;sgp30: 400 ppm ;Temp: 20.9 C  ;  Humidity rel. : 55.0% ; Humidity abs. : 10.02 g/m³
2020.10.07;12:13:10; css811: 409 ppm ;sgp30: 400 ppm ;Temp: 20.9 C  ;  Humidity rel. : 54.8% ; Humidity abs. : 9.98 g/m³
2020.10.07;12:13:45; css811: 405 ppm ;sgp30: 400 ppm ;Temp: 20.9 C  ;  Humidity rel. : 54.4% ; Humidity abs. : 9.91 g/m³
2020.10.07;12:14:13; css811: 408 ppm ;sgp30: 400 ppm ;Temp: 20.9 C  ;  Humidity rel. : 55.6% ; Humidity abs. : 10.13 g/m³
2020.10.07;12:15:44; css811: 418 ppm ;sgp30: 400 ppm ;Temp: 21.0 C  ;  Humidity rel. : 54.4% ; Humidity abs. : 9.97 g/m³
2020.10.07;12:16:05; css811: 400 ppm ;sgp30: 400 ppm ;Temp: 21.0 C  ;  Humidity rel. : 54.4% ; Humidity abs. : 9.97 g/m³
2020.10.07;12:16:21; css811: 400 ppm ;sgp30: 400 ppm ;Temp: 21.0 C  ;  Humidity rel. : 54.2% ; Humidity abs. : 9.93 g/m³
2020.10.07;12:16:41; css811: 405 ppm ;sgp30: 400 ppm ;Temp: 21.1 C  ;  Humidity rel. : 54.2% ; Humidity abs. : 9.99 g/m³
